,DATE,VISITA,LOCAL,ZONA,CV,CL,HV,HL,ATT,TIME,OBS
1,31/03/2017,SLT,MTY,NTE,7,3,10,9,29734,194,
2,31/03/2017,TAB,CAM,SUR,4,5,8,12,8956,161,
3,31/03/2017,DUR,AGU,NTE,2,1,5,5,5989,192,
4,31/03/2017,VRA,OAX,SUR,11,4,15,13,7328,195,
5,31/03/2017,MVA,MXO,NTE,12,7,11,12,4989,225,
6,31/03/2017,LEO,PUE,SUR,4,10,9,16,11699,177,
7,31/03/2017,QUI,YUC,SUR,1,8,7,14,12000,185,
8,31/03/2017,VAQ,TIJ,NTE,5,16,8,14,17988,202,
9,01/04/2017,MVA,MXO,NTE,10,17,10,20,4450,226,
10,01/04/2017,LEO,PUE,SUR,10,7,13,10,3472,179,
11,01/04/2017,VRA,OAX,SUR,0,9,7,11,2286,172,
12,01/04/2017,QUI,YUC,SUR,4,8,11,13,10877,194,
13,01/04/2017,TAB,CAM,SUR,2,8,5,12,3167,186,
14,01/04/2017,DUR,AGU,NTE,7,8,8,12,2846,216,
15,01/04/2017,MTY,SLT,NTE,11,7,16,11,14000,233,
16,01/04/2017,VAQ,TIJ,NTE,0,5,3,8,12983,158,
17,02/04/2017,MVA,MXO,NTE,4,3,6,7,3792,196,
18,02/04/2017,LEO,PUE,SUR,6,16,8,16,3697,248,
19,02/04/2017,SLT,MTY,NTE,5,9,11,9,16182,182,
20,02/04/2017,VRA,OAX,SUR,6,7,10,13,2423,213,
21,02/04/2017,DUR,AGU,NTE,4,9,8,16,3567,185,
22,02/04/2017,TAB,CAM,SUR,2,1,8,6,2724,153,
23,02/04/2017,QUI,YUC,SUR,1,13,4,18,10392,204,
24,02/04/2017,VAQ,TIJ,NTE,1,6,5,10,10214,160,
25,04/04/2017,LEO,OAX,SUR,3,4,12,8,2086,195,
26,04/04/2017,MXO,SLT,NTE,8,6,11,11,4996,220,
27,04/04/2017,PUE,VRA,SUR,12,3,21,5,4284,178,
28,04/04/2017,MTY,MVA,NTE,2,4,9,10,8500,200,
29,04/04/2017,YUC,TAB,SUR,0,3,3,6,7511,178,
30,04/04/2017,CAM,QUI,SUR,3,4,10,7,7989,135,
31,04/04/2017,AGU,VAQ,NTE,3,8,6,13,9000,182,
32,04/04/2017,DUR,TIJ,NTE,6,3,13,8,6092,199,
33,05/04/2017,LEO,OAX,SUR,9,11,11,18,1980,213,
34,05/04/2017,MXO,SLT,NTE,6,3,9,7,4209,167,
35,05/04/2017,PUE,VRA,SUR,13,1,12,8,1883,161,
36,05/04/2017,MTY,MVA,NTE,6,4,12,8,8285,235,F/10
37,05/04/2017,YUC,TAB,SUR,2,1,6,8,2204,188,
38,05/04/2017,CAM,QUI,SUR,4,10,10,14,2873,185,
39,05/04/2017,AGU,VAQ,NTE,2,14,6,16,4750,182,
40,05/04/2017,DUR,TIJ,NTE,5,8,17,9,7895,198,
41,06/04/2017,LEO,OAX,SUR,1,0,3,4,2292,149,
42,06/04/2017,MXO,SLT,NTE,0,2,4,9,5342,142,
43,06/04/2017,PUE,VRA,SUR,1,2,7,9,2137,237,F/11
44,06/04/2017,MTY,MVA,NTE,1,3,5,5,8500,140,
45,06/04/2017,CAM,QUI,SUR,10,2,16,7,3555,175,
46,06/04/2017,AGU,VAQ,NTE,5,8,6,13,5256,195,
47,06/04/2017,DUR,TIJ,NTE,2,1,8,6,13487,165,
48,07/04/2017,OAX,PUE,SUR,12,5,18,11,4900,202,
49,07/04/2017,DUR,MTY,NTE,3,2,8,11,10087,211,
50,07/04/2017,LEO,VRA,SUR,2,0,7,5,2582,134,
51,07/04/2017,MXO,AGU,NTE,3,9,11,11,4896,172,
52,07/04/2017,MVA,VAQ,NTE,10,8,13,15,7159,254,
53,07/04/2017,TAB,QUI,SUR,3,6,7,6,3934,153,
54,07/04/2017,CAM,YUC,SUR,2,3,5,6,9365,164,
55,08/04/2017,OAX,PUE,SUR,1,10,5,14,2161,181,
56,08/04/2017,MXO,AGU,NTE,6,12,11,12,3989,215,
57,08/04/2017,DUR,MTY,NTE,2,3,7,8,14121,177,
58,08/04/2017,LEO,VRA,SUR,6,1,11,6,2668,175,
59,08/04/2017,TIJ,SLT,NTE,1,5,5,10,4206,177,
60,08/04/2017,CAM,YUC,SUR,0,5,7,9,10324,165,
61,08/04/2017,MVA,VAQ,NTE,15,3,18,9,5467,194,
62,08/04/2017,TAB,QUI,SUR,0,1,8,8,4149,159,
63,09/04/2017,LEO,VRA,SUR,11,6,13,12,3256,210,
64,09/04/2017,OAX,PUE,SUR,3,9,9,13,3559,186,
65,09/04/2017,MVA,VAQ,NTE,2,5,7,10,NA,185,ATT NR
66,09/04/2017,DUR,MTY,NTE,3,2,12,7,17247,189,
67,09/04/2017,TIJ,SLT,NTE,9,5,9,7,NA,166,DJ F/7
68,09/04/2017,TIJ,SLT,NTE,8,11,13,17,11196,166,DJ F/7
69,09/04/2017,MXO,AGU,NTE,2,3,8,5,5201,184,
70,09/04/2017,TAB,QUI,SUR,1,3,7,6,4316,151,
71,09/04/2017,CAM,YUC,SUR,1,2,8,3,11345,176,
72,11/04/2017,YUC,MXO,NTE,2,13,11,12,3100,180,
73,11/04/2017,AGU,OAX,SUR,5,8,12,11,3113,282,F/12
74,11/04/2017,PUE,MTY,NTE,1,8,6,13,9159,164,
75,11/04/2017,LEO,MVA,NTE,2,24,11,29,8500,235,
76,11/04/2017,SLT,VRA,SUR,6,1,11,6,2496,157,
77,11/04/2017,DUR,CAM,SUR,5,10,9,17,3047,202,
78,11/04/2017,VAQ,TAB,SUR,9,1,12,6,3053,148,
79,11/04/2017,QUI,TIJ,NTE,2,8,7,10,7892,187,
80,12/04/2017,YUC,MXO,NTE,4,7,11,11,3575,182,
81,12/04/2017,AGU,OAX,SUR,6,2,8,7,2938,175,
82,12/04/2017,PUE,MTY,NTE,3,4,13,9,12241,163,
83,12/04/2017,LEO,MVA,NTE,3,1,7,5,8500,156,
84,12/04/2017,SLT,VRA,SUR,2,1,4,7,2621,149,
85,12/04/2017,DUR,CAM,SUR,2,6,8,9,3815,157,
86,12/04/2017,VAQ,TAB,SUR,7,0,10,5,3150,173,
87,12/04/2017,QUI,TIJ,NTE,5,6,12,10,9425,186,
88,13/04/2017,YUC,MXO,NTE,3,5,12,13,4569,173,
89,13/04/2017,AGU,OAX,SUR,10,1,15,3,2502,167,
90,13/04/2017,PUE,MTY,NTE,0,5,8,9,17218,156,
91,13/04/2017,LEO,MVA,NTE,4,0,12,4,8500,180,
92,13/04/2017,SLT,VRA,SUR,4,5,12,9,2710,203,
93,13/04/2017,DUR,CAM,SUR,6,5,14,11,5789,203,
94,13/04/2017,VAQ,TAB,SUR,7,4,9,13,1803,208,
95,13/04/2017,QUI,TIJ,NTE,0,3,9,8,16379,164,
96,14/04/2017,SLT,OAX,SUR,4,5,8,8,2538,210,
97,14/04/2017,DUR,TAB,SUR,4,1,13,4,1637,154,
98,14/04/2017,QUI,MXO,NTE,4,10,6,15,5686,177,
99,14/04/2017,LEO,MTY,NTE,0,7,5,9,16328,151,
100,14/04/2017,PUE,MVA,NTE,11,5,13,11,8500,220,
101,14/04/2017,AGU,VRA,SUR,3,4,3,10,3083,196,
102,14/04/2017,VAQ,CAM,SUR,2,1,9,9,2356,179,
103,14/04/2017,YUC,TIJ,NTE,13,8,20,10,15583,223,
104,15/04/2017,QUI,MXO,NTE,9,0,13,7,5632,155,
105,15/04/2017,LEO,MTY,NTE,2,5,5,9,13829,146,
106,15/04/2017,SLT,OAX,SUR,4,9,10,13,2443,203,
107,15/04/2017,DUR,TAB,SUR,2,6,6,12,1502,164,
108,15/04/2017,AGU,VRA,SUR,5,3,10,5,2803,193,
109,15/04/2017,PUE,MVA,NTE,2,6,8,7,8500,195,
110,15/04/2017,VAQ,CAM,SUR,12,3,14,7,2489,177,
111,15/04/2017,YUC,TIJ,NTE,4,2,7,6,14297,194,
112,16/04/2017,QUI,MXO,NTE,4,5,9,12,5731,198,
113,16/04/2017,AGU,VRA,SUR,2,13,11,15,2856,185,
114,16/04/2017,LEO,MTY,NTE,3,8,5,15,16185,165,
115,16/04/2017,DUR,TAB,SUR,7,5,12,13,1769,181,
116,16/04/2017,PUE,MVA,NTE,9,2,11,5,8500,166,
117,16/04/2017,VAQ,CAM,SUR,6,4,10,9,3046,188,
118,16/04/2017,YUC,TIJ,NTE,2,4,7,6,8398,170,
119,17/04/2017,DUR,VRA,SUR,2,4,10,7,2431,188,
120,18/04/2017,TIJ,PUE,SUR,7,5,11,14,2378,218,
121,18/04/2017,DUR,VRA,SUR,1,4,8,9,2425,154,
122,18/04/2017,TAB,AGU,NTE,4,6,11,12,3058,174,
123,18/04/2017,CAM,SLT,NTE,7,6,10,14,4717,194,
124,18/04/2017,OAX,VAQ,NTE,8,7,13,13,6132,195,
125,18/04/2017,MTY,QUI,SUR,5,0,10,2,3977,144,
126,18/04/2017,MVA,YUC,SUR,4,2,10,5,6850,176,
127,19/04/2017,MXO,LEO,SUR,0,8,5,11,NA,125,DJ F/7
128,19/04/2017,MXO,LEO,SUR,4,1,9,3,4852,123,DJ F/7
129,19/04/2017,TIJ,PUE,SUR,15,0,17,6,2144,171,
130,19/04/2017,DUR,VRA,SUR,1,0,4,5,2570,148,
131,19/04/2017,TAB,AGU,NTE,7,5,13,12,2578,220,
132,19/04/2017,CAM,SLT,NTE,2,6,7,11,5179,178,
133,19/04/2017,OAX,VAQ,NTE,5,21,11,16,6338,199,
134,20/04/2017,MVA,YUC,SUR,4,6,7,5,NA,139,DJ F/7
135,20/04/2017,MVA,YUC,SUR,7,0,11,2,9765,128,DJ F/7
136,20/04/2017,TIJ,PUE,SUR,8,1,16,5,2136,161,
137,20/04/2017,MXO,LEO,SUR,9,4,14,7,3062,190,
138,20/04/2017,TAB,AGU,NTE,8,2,15,7,3180,200,
139,20/04/2017,CAM,SLT,NTE,2,7,2,13,5502,182,
140,20/04/2017,OAX,VAQ,NTE,8,12,11,13,8456,213,
141,21/04/2017,MXO,PUE,SUR,5,6,15,6,3759,218,
142,21/04/2017,TIJ,LEO,SUR,14,4,12,7,1353,203,
143,21/04/2017,TAB,SLT,NTE,4,5,12,16,5713,174,
144,21/04/2017,CAM,AGU,NTE,3,6,7,10,2456,174,
145,21/04/2017,MVA,QUI,SUR,1,2,5,5,3034,213,
146,21/04/2017,VRA,VAQ,NTE,2,9,12,10,9000,167,
147,21/04/2017,MTY,YUC,SUR,7,5,9,10,10365,181,
148,22/04/2017,MXO,PUE,SUR,7,2,12,11,4950,192,
149,22/04/2017,DUR,OAX,SUR,2,1,8,5,1532,173,
150,22/04/2017,TAB,SLT,NTE,1,11,11,14,5376,163,
151,22/04/2017,CAM,AGU,NTE,6,11,10,14,2759,182,
152,22/04/2017,TIJ,LEO,SUR,16,0,11,4,1296,169,
153,22/04/2017,MVA,QUI,SUR,7,2,11,8,3175,204,
154,22/04/2017,VRA,VAQ,NTE,7,19,12,20,7739,200,
155,22/04/2017,MTY,YUC,SUR,2,3,10,8,10854,200,F/10
156,23/04/2017,TIJ,LEO,SUR,4,7,7,12,1471,183,
157,23/04/2017,MXO,PUE,SUR,10,6,17,15,4950,203,
158,23/04/2017,DUR,OAX,SUR,1,3,5,7,NA,135,DJ F/7
159,23/04/2017,DUR,OAX,SUR,2,3,4,6,1632,139,DJ F/7
160,23/04/2017,VRA,VAQ,NTE,10,5,14,10,3159,177,
161,23/04/2017,MVA,QUI,SUR,0,3,1,11,3615,167,
162,23/04/2017,TAB,SLT,NTE,9,8,15,14,6599,262,F/13
163,23/04/2017,CAM,AGU,NTE,8,6,11,15,3347,211,
164,23/04/2017,MTY,YUC,SUR,2,3,5,12,11145,174,
165,25/04/2017,YUC,OAX,SUR,11,5,16,11,5675,197,
166,25/04/2017,SLT,MXO,NTE,5,3,11,6,1400,187,
167,25/04/2017,DUR,MTY,NTE,4,5,14,12,9852,238,F/12
168,25/04/2017,QUI,VRA,SUR,6,10,10,9,2745,203,
169,25/04/2017,VAQ,MVA,NTE,0,3,4,6,6400,178,
170,25/04/2017,LEO,CAM,SUR,3,4,8,8,1420,250,F/12
171,25/04/2017,PUE,TAB,SUR,2,1,4,4,1605,158,
172,25/04/2017,AGU,TIJ,NTE,1,5,7,7,7138,168,
173,26/04/2017,YUC,OAX,SUR,3,4,10,9,1788,211,F/10
174,26/04/2017,SLT,MXO,NTE,6,12,13,16,1800,181,
175,26/04/2017,DUR,MTY,NTE,2,5,4,12,6352,151,
176,26/04/2017,QUI,VRA,SUR,2,3,4,7,2677,170,
177,26/04/2017,VAQ,MVA,NTE,5,12,9,11,6150,210,
178,26/04/2017,LEO,CAM,SUR,3,8,5,11,2978,165,
179,26/04/2017,PUE,TAB,SUR,5,3,14,8,1291,277,F/14
180,26/04/2017,AGU,TIJ,NTE,5,6,9,8,6321,249,F/10
181,27/04/2017,YUC,OAX,SUR,5,2,6,13,2178,247,
182,27/04/2017,SLT,MXO,NTE,9,0,15,6,1600,194,
183,27/04/2017,DUR,MTY,NTE,8,12,9,17,15912,185,
184,27/04/2017,QUI,VRA,SUR,11,2,16,9,2787,207,
185,27/04/2017,VAQ,MVA,NTE,9,6,11,12,6550,192,
186,27/04/2017,LEO,CAM,SUR,3,4,5,13,4038,249,F/12
187,27/04/2017,PUE,TAB,SUR,5,2,4,9,1217,157,
188,27/04/2017,AGU,TIJ,NTE,1,6,4,11,13502,160,
189,28/04/2017,QUI,OAX,SUR,5,6,9,13,3151,195,
190,28/04/2017,TIJ,MXO,NTE,5,7,9,15,2800,209,
191,28/04/2017,YUC,VRA,SUR,9,6,13,10,3034,210,
192,28/04/2017,SLT,AGU,NTE,9,1,13,6,2816,173,
193,28/04/2017,MTY,MVA,NTE,3,4,10,9,8050,180,
194,28/04/2017,LEO,TAB,SUR,7,8,16,13,1648,212,
195,28/04/2017,DUR,VAQ,NTE,0,9,5,12,5789,135,
196,28/04/2017,PUE,CAM,SUR,10,4,11,8,2560,183,
197,29/04/2017,TIJ,MXO,NTE,5,7,9,11,3800,181,
198,29/04/2017,QUI,OAX,SUR,3,8,8,12,3111,188,
199,29/04/2017,YUC,VRA,SUR,1,5,7,9,2224,177,
200,29/04/2017,SLT,AGU,NTE,4,15,9,15,2696,194,
201,29/04/2017,LEO,TAB,SUR,4,3,7,13,1228,203,F/10
202,29/04/2017,PUE,CAM,SUR,4,2,9,10,2110,153,
203,29/04/2017,MTY,MVA,NTE,13,5,19,11,6850,205,
204,29/04/2017,DUR,VAQ,NTE,1,13,9,16,5120,194,
205,30/04/2017,TIJ,MXO,NTE,11,4,9,8,3800,189,
206,30/04/2017,QUI,OAX,SUR,6,1,12,3,4125,159,
