"","DATE","AWAY","aR","aH","aE","AW","AL","HOME","hR","hH","hE","HW","HL","ATT","TIME"
"1","22/03/2018","MVA",6,9,2,1,0,"TIJ",1,5,1,0,1,17698,195
"2","23/03/2018","VAQ",2,4,0,0,1,"LAR",8,7,0,1,0,5012,160
"3","23/03/2018","PUE",8,11,1,1,0,"MXO",5,8,1,0,1,5600,210
"4","23/03/2018","SLT",1,5,1,0,1,"MTY",5,7,1,1,0,21746,169
"5","23/03/2018","YUC",4,9,0,1,0,"TAB",2,8,0,0,1,8132,171
"6","23/03/2018","DUR",14,17,0,1,0,"AGU",10,11,1,0,1,4863,219
"7","23/03/2018","OAX",6,11,2,0,1,"LEO",7,7,1,1,0,4138,210
"8","23/03/2018","QUI",13,19,0,1,0,"CAM",6,15,2,0,1,6684,203
"9","23/03/2018","MVA",0,7,1,1,1,"TIJ",9,12,0,1,1,8025,178
"10","24/03/2018","VAQ",2,10,1,0,2,"LAR",5,6,0,2,0,4956,193
"11","24/03/2018","PUE",3,9,0,1,1,"MXO",10,12,0,1,1,5050,185
"12","24/03/2018","SLT",2,7,1,0,2,"MTY",3,6,0,2,0,16504,160
"13","24/03/2018","YUC",2,10,0,2,0,"TAB",1,5,0,0,2,3185,201
"14","24/03/2018","DUR",4,10,2,1,1,"AGU",14,22,0,1,1,1245,190
"15","24/03/2018","OAX",4,10,2,1,1,"LEO",3,11,2,1,1,3412,277
"16","24/03/2018","QUI",9,17,0,2,0,"CAM",8,14,1,0,2,2186,210
"17","24/03/2018","MVA",0,6,1,1,2,"TIJ",4,9,0,2,1,15967,160
"18","25/03/2018","QUI",4,9,0,2,1,"CAM",5,9,1,1,2,2480,187
"19","25/03/2018","PUE",1,5,0,1,2,"MXO",5,9,0,2,1,4500,173
"20","25/03/2018","VAQ",3,6,0,0,3,"LAR",4,12,1,3,0,4375,168
"21","25/03/2018","YUC",4,5,1,3,0,"TAB",0,4,1,0,3,2014,141
"22","25/03/2018","SLT",6,12,0,0,3,"MTY",7,12,0,3,0,20853,253
"23","25/03/2018","OAX",17,21,0,2,1,"LEO",3,11,2,1,2,2625,213
"24","25/03/2018","DUR",4,10,0,1,2,"AGU",9,13,1,2,1,2178,191
"25","27/03/2018","LEO",8,14,1,1,3,"MXO",9,14,1,3,1,3600,214
"26","27/03/2018","OAX",4,8,2,2,2,"PUE",8,7,1,2,2,9244,194
"27","27/03/2018","CAM",4,10,3,2,2,"TAB",3,9,0,0,4,2367,165
"28","27/03/2018","AGU",6,8,1,3,1,"SLT",5,8,2,0,4,14920,205
"29","27/03/2018","LAR",6,12,1,3,1,"MVA",8,11,1,2,2,8500,220
"30","27/03/2018","TIJ",1,5,0,2,2,"MTY",6,8,0,4,0,11373,150
"31","27/03/2018","DUR",8,14,0,2,2,"VAQ",3,8,1,0,4,7779,179
"32","27/03/2018","QUI",6,12,0,2,2,"YUC",10,13,0,4,0,14000,198
"33","28/03/2018","LEO",3,9,2,1,4,"MXO",6,9,0,4,1,3800,222
"34","28/03/2018","OAX",2,8,3,2,3,"PUE",4,10,1,3,2,1654,185
"35","28/03/2018","CAM",4,9,1,2,3,"TAB",9,13,2,1,4,3257,156
"36","28/03/2018","LAR",5,13,1,3,2,"MVA",6,11,2,3,2,5710,229
"37","28/03/2018","AGU",5,11,3,3,2,"SLT",6,10,0,1,4,2650,212
"38","28/03/2018","TIJ",5,11,0,2,3,"MTY",6,9,0,5,0,8275,192
"39","28/03/2018","DUR",4,9,1,3,2,"VAQ",2,7,1,0,5,3732,160
"40","28/03/2018","QUI",2,10,0,3,2,"YUC",1,6,1,4,1,12200,191
"41","29/03/2018","LEO",7,13,0,2,4,"MXO",5,7,1,4,2,4800,215
"42","29/03/2018","OAX",0,6,3,2,4,"PUE",5,9,0,4,2,2719,127
