"","TEAM","OUT","H","HR","R","ER","SO","BB","BK","W","L","HLD","SV"
"1","AGU",573,218,21,123,200,132,73,1,11,10,16,5
"2","CAM",546,238,22,130,117,113,57,0,7,14,18,5
"3","DUR",552,262,18,169,149,138,102,0,10,11,16,6
"4","LAR",551,185,15,93,87,153,66,2,9,12,6,4
"5","LEO",562,225,27,142,128,137,82,1,8,13,6,2
"6","MTY",590,207,20,99,93,150,63,0,15,6,20,3
"7","MVA",557,231,14,132,110,137,68,0,8,13,13,2
"8","MXO",585,218,30,119,109,172,81,4,13,8,20,6
"9","OAX",568,230,25,142,107,137,83,2,10,11,7,4
"10","PUE",555,190,19,110,95,138,95,2,13,8,12,3
"11","QUI",546,203,13,97,88,135,60,1,14,6,33,8
"12","SLT",557,227,14,130,121,135,67,1,8,13,16,5
"13","TAB",555,208,17,124,112,133,86,2,8,13,11,4
"14","TIJ",585,209,28,109,105,141,77,5,12,10,15,4
"15","VAQ",546,204,19,113,105,105,101,3,6,15,5,3
"16","YUC",574,208,10,93,85,119,60,1,16,5,15,8
