"","Batter_Name","AB","R","H","D","Tr","HR","RBI","BB","SO","HBP","SB","SF","SH"
"1","AARON KURCZ",0,0,0,0,0,0,0,0,0,0,0,0,0
"2","AARON LAFFEY",0,0,0,0,0,0,0,0,0,0,0,0,0
"3","ABRAHAM RAMOS",0,1,0,0,0,0,0,0,0,0,0,0,0
"4","ADAN MUNOZ",59,9,15,2,0,3,10,3,15,0,0,0,0
"5","ADRIAN C. RAMIREZ",0,0,0,0,0,0,0,0,0,0,0,0,0
"6","ADRIAN GARZA",0,0,0,0,0,0,0,0,0,0,0,0,0
"7","ADRIAN GUTIERREZ",10,0,1,0,0,0,0,0,0,1,0,0,0
"8","ADRIAN NICOLI",4,4,0,0,0,0,0,0,2,0,0,0,0
"9","AGUSTIN MURILLO",76,14,25,5,0,3,12,8,8,2,4,1,0
"10","AGUSTIN SEPTIMO",28,3,9,1,0,1,3,0,6,0,0,0,0
"11","ALAN ESPINOZA",29,1,5,1,0,1,7,0,3,0,0,0,0
"12","ALAN LOPEZ",22,9,6,1,1,0,5,2,8,0,1,0,0
"13","ALAN REVILLA",0,0,0,0,0,0,0,1,0,0,0,0,0
"14","ALAN SANCHEZ",26,1,11,0,0,0,7,2,4,0,0,0,0
"15","ALBERT CANEDO",2,1,0,0,0,0,0,0,2,0,0,0,0
"16","ALBERTO CALLASPO",70,9,23,3,0,0,8,8,8,0,1,1,0
"17","ALBERTO CARREON",92,19,32,5,0,0,7,4,14,3,2,0,1
"18","ALBERTO LEYVA",0,0,0,0,0,0,0,0,0,0,0,0,0
"19","ALBERTO QUERALES",54,7,15,2,0,0,7,1,9,0,0,2,2
"20","ALDO FLORES",6,1,1,0,0,0,0,0,4,0,0,0,0
"21","ALDO MONTES",0,0,0,0,0,0,0,0,0,0,0,0,0
"22","ALDO RAMIREZ",0,0,0,0,0,0,0,0,0,0,0,0,0
"23","ALEJANDRO ARTEAGA",0,0,0,0,0,0,0,0,0,0,0,0,0
"24","ALEJANDRO ASTORGA",0,0,0,0,0,0,0,0,0,0,0,0,0
"25","ALEJANDRO BARRAZA",0,0,0,0,0,0,0,0,0,0,0,0,0
