"","Pitcher_Name","OUT","H","HR","R","ER","SO","BB","BK","W","L","HLD","SV"
"1","AARON KURCZ",32,10,2,4,4,10,5,3,0,1,1,0
"2","AARON LAFFEY",39,17,1,9,8,3,2,0,1,1,0,0
"3","ADRIAN C. RAMIREZ",10,7,0,6,6,1,3,0,0,0,1,0
"4","ADRIAN GARZA",26,10,2,8,8,6,6,0,0,0,0,0
"5","ALBERTO LEYVA",19,11,0,8,7,6,5,0,1,0,4,0
"6","ALDO MONTES",60,26,0,13,10,17,8,0,1,3,0,0
"7","ALDO RAMIREZ",19,7,2,4,4,3,6,0,0,0,1,0
"8","ALEJANDRO ARTEAGA",16,2,0,3,3,6,4,0,0,0,0,0
"9","ALEJANDRO ASTORGA",69,23,0,10,9,15,9,2,0,2,0,0
"10","ALEJANDRO BARRAZA",25,5,0,3,3,4,4,0,2,0,3,1
"11","ALEJANDRO CHAVARRIA",19,10,0,5,5,6,3,0,0,1,0,0
"12","ALEJANDRO MARTINEZ",39,15,2,10,10,9,4,0,2,0,0,0
"13","ALEJANDRO SOTO",36,24,5,18,17,9,8,0,0,2,0,0
"14","ALEX DELGADO",40,13,3,9,8,13,4,0,1,0,0,0
"15","ALEX SANABIA",51,16,2,10,10,7,8,0,3,1,0,0
"16","ALEXIS CANDELARIO",50,22,3,13,13,16,9,0,0,2,0,0
"17","ALEXIS PORTILLO",13,8,0,7,7,4,2,0,0,1,0,0
"18","ALFONSO SANCHEZ",13,0,0,1,1,5,3,0,0,1,2,0
"19","ANDRES AVILA",34,9,1,6,6,11,4,0,1,1,5,0
"20","ANDREW GUTIERREZ",2,5,0,5,5,1,1,1,0,0,0,0
"21","ANGEL ADRIAN RAMIREZ",16,5,0,1,1,5,1,0,0,0,0,0
"22","ANGEL ARAIZA",58,21,3,13,13,16,7,0,0,3,0,0
"23","ANGEL CASTRO",42,18,1,12,10,6,11,0,0,1,0,0
"24","ANGEL LANDAZURI",29,1,0,1,1,4,3,0,0,0,0,0
"25","ANGEL RODRIGUEZ",38,18,2,13,11,9,7,0,0,0,0,0
"26","ANTHONY CARTER",44,14,1,9,5,13,3,0,2,3,0,4
"27","ANTONIO GARZON",29,9,0,3,3,5,1,0,0,0,4,0
"28","ARCENIO LEON",28,5,0,4,2,9,2,0,1,0,0,3
"29","ARIEL GRACIA",27,15,2,13,9,7,6,0,1,0,0,0
"30","ARIEL PENA",38,18,1,15,14,8,8,0,1,2,0,0
"31","ARTURO BARRADAS",37,12,1,4,4,7,7,0,1,0,4,0
"32","ARTURO FLORENTINO",26,12,0,13,13,5,11,0,0,1,0,0
"33","ATAHUALPA SEVERINO",21,6,1,4,2,8,5,0,0,0,3,0
"34","AXEL RIOS",26,14,2,5,4,8,3,0,1,1,1,0
"35","BARRY ENRIGHT",69,21,1,8,8,16,5,0,3,0,0,0
"36","BENNY SUAREZ",21,6,0,4,1,5,4,0,0,0,0,0
"37","BRANDON CUNNIFF",9,4,0,1,1,2,1,0,0,0,0,0
"38","BRANDON QUINTERO",22,7,2,4,4,5,3,0,0,0,1,0
"39","BRAULIO LARA",18,7,0,5,5,8,5,0,0,0,4,0
"40","BRAULIO TORRES-PEREZ",19,7,1,4,4,2,5,0,0,1,1,0
"41","BRYAN EVANS",60,28,4,16,13,21,2,0,1,2,0,0
"42","CARLOS CHAVEZ",28,12,1,10,8,6,5,0,0,0,1,0
"43","CARLOS DE LEON",33,13,2,6,5,11,4,0,1,1,1,1
"44","CARLOS FELIX",27,9,0,1,1,8,2,0,0,0,0,0
"45","CARLOS FISHER",38,11,0,6,6,17,5,0,1,0,5,0
"46","CARLOS HERNANDEZ",56,17,1,9,9,13,1,0,2,1,0,0
"47","CARLOS MORALES",34,18,1,14,7,9,7,0,0,0,0,0
"48","CARLOS PECH",20,10,0,4,4,5,4,0,0,0,0,0
"49","CARLOS TELLER",6,5,0,5,5,0,3,0,0,1,0,0
"50","CARLOS ZUNIGA",6,7,0,2,2,1,0,0,0,0,0,0
"51","CESAR VALDEZ",50,31,2,15,11,9,5,0,1,3,0,0
"52","CHAD GAUDIN",19,8,0,6,0,5,0,0,1,1,0,1
"53","CHRIS ROCHA",40,17,1,4,4,12,3,0,0,1,0,0
"54","CONFESOR LARA",37,13,1,8,7,8,9,0,1,2,2,0
"55","DALLAS MARTINEZ",18,3,1,1,1,2,2,0,1,0,0,0
"56","DANIEL BRITO",21,13,2,9,8,1,4,0,0,0,0,0
"57","DANIEL DUARTE",20,7,0,3,3,5,1,0,2,0,5,0
"58","DANIEL FLORES",11,3,0,2,2,1,2,0,0,0,0,0
"59","DANIEL GUERRERO",57,19,3,12,11,16,12,2,0,3,0,0
"60","DAVID GUTIERREZ",37,11,1,8,6,10,7,0,0,0,3,0
"61","DAVID REYES",66,30,4,19,19,20,8,1,2,0,0,0
"62","DAVID RICHARDSON",30,6,2,5,5,14,4,0,1,0,4,0
"63","DEMETRIO GUTIERREZ",19,3,1,1,1,3,3,0,1,0,0,0
"64","DERRICK LOOP",35,12,0,3,2,19,7,0,0,0,4,3
"65","DUSTIN CRENSHAW",69,29,3,13,11,15,8,0,1,1,0,0
"66","EDER LLAMAS",48,9,1,6,6,10,3,0,0,1,0,0
"67","EDGAR GOMEZ",25,14,1,10,10,4,4,0,0,0,1,1
"68","EDGAR GONZALEZ",61,26,4,11,11,9,3,0,0,0,0,0
"69","EDGAR TORRES",13,7,3,4,4,2,2,0,0,0,2,0
"70","EDUARD SANTOS",4,3,0,4,4,4,2,0,0,1,0,0
"71","EDWIN QUIRARTE",11,13,0,11,9,1,2,0,0,0,0,0
"72","EDWIN SALAS",34,8,0,6,5,10,4,0,1,1,2,1
"73","EGER ACOSTA",14,3,0,4,4,8,4,0,0,0,0,0
"74","EL'HAJJ MUHAMMAD",26,6,2,5,5,1,4,0,1,0,0,3
"75","ERNESTO FRIERI",11,3,1,4,4,5,3,0,0,0,1,1
"76","ESTEBAN HARO",17,15,0,8,8,4,2,1,1,1,2,0
"77","ESTEVAN GONZALEZ",3,0,0,0,0,0,0,0,0,0,0,0
"78","EUMIR SEPULVEDA",48,18,2,12,10,4,12,0,0,2,0,0
"79","FABIAN COTA",14,7,0,1,1,6,1,0,0,0,5,0
"80","FABIAN WILLIAMSON",10,8,1,8,8,4,6,0,1,0,2,0
"81","FEDERICO CASTANEDA",24,8,0,3,3,5,3,0,0,0,2,0
"82","FELIPE ARREDONDO",31,12,4,5,5,8,3,0,1,0,1,0
"83","FELIPE GONZALEZ",27,5,0,2,1,7,4,0,1,1,3,0
"84","FERNANDO GALLEGOS",26,16,2,13,13,10,6,0,0,2,0,0
"85","FERNANDO VILLALOBOS",20,10,1,9,7,2,3,0,1,0,1,0
"86","FRANCISCO CAMPOS",4,6,1,7,7,0,1,0,0,1,0,0
"87","FRANCISCO DEL ROSARIO",38,13,1,6,6,13,10,0,1,0,3,1
"88","FRANCISCO GIL",16,5,1,4,4,1,2,0,0,0,1,0
"89","FRANCISCO HARO",36,13,0,4,3,9,3,0,0,0,0,0
"90","FRANCISCO MORENO",46,25,4,15,13,6,3,0,0,3,0,0
"91","FRANCISCO RODRIGUEZ",68,27,3,18,17,14,11,0,1,2,0,0
"92","FRANKIE DE LA CRUZ",87,42,0,23,20,22,4,0,0,5,0,0
"93","FREDDY GARCIA",56,26,1,10,8,19,2,0,2,2,0,0
"94","FREDY QUINTERO",29,12,2,8,6,7,4,0,0,2,1,1
"95","GABE AGUILAR",13,3,0,0,0,5,2,0,0,0,1,0
"96","GABINO AVALOS",3,2,0,4,3,1,3,0,0,0,0,0
"97","GERARDO GUTIERREZ",14,1,0,3,3,8,4,0,0,0,0,0
"98","GERARDO SANCHEZ",25,11,0,2,2,4,3,0,1,0,4,0
"99","GONZALO OCHOA",15,5,0,0,0,6,1,0,0,0,0,0
"100","GONZALO SANUDO",30,7,0,0,0,8,0,0,1,0,0,0
"101","GUILLERMO TRUJILLO",52,18,4,12,12,7,4,0,2,1,0,0
"102","HASSAN PENA",10,14,1,8,8,4,4,0,0,2,1,0
"103","HECTOR AMBRIZ",24,10,0,3,3,8,2,0,0,1,0,0
"104","HECTOR GALVAN",40,20,2,12,10,7,7,1,1,3,0,0
"105","HENDERSON ALVAREZ",62,26,2,12,12,11,3,0,2,0,0,0
"106","HENRY OMANA",24,4,0,6,5,2,10,1,0,1,1,0
"107","HERIBERTO RUELAS",31,4,0,0,0,11,5,0,1,0,1,2
"108","HUGO GUTIERREZ",3,7,0,6,6,1,0,0,0,0,0,0
"109","HUMBERTO MONTIEL",24,17,1,13,13,3,8,0,0,1,1,0
"110","IRWIN DELGADO",64,30,4,18,12,17,8,0,1,0,0,0
"111","ISAAC JIMENEZ",6,7,0,4,4,2,0,0,1,0,0,0
"112","ISMAEL CASTILLO",20,3,1,4,4,7,3,0,0,1,1,0
"113","IVAN SALAS",20,3,0,0,0,3,2,0,1,0,5,0
"114","IVAN ZAVALA",22,6,0,2,2,4,3,0,0,1,0,0
"115","JAIME LUGO",53,30,3,14,14,14,4,0,0,1,0,0
"116","JASON URQUIDEZ",24,9,0,2,2,9,1,0,0,0,0,4
"117","JAVIER REYNOSO",25,13,2,8,8,4,6,0,0,1,2,0
"118","JAVIER SOLANO",70,37,3,19,17,18,5,0,3,1,0,0
"119","JEAN MACHI",42,17,3,10,9,11,3,0,2,2,3,3
"120","JEFF IBARRA",27,4,0,1,1,10,1,0,1,0,2,0
"121","JESSE ESTRADA",36,7,0,0,0,5,5,0,0,0,2,1
"122","JESUS ADRIAN CASTILLO",48,13,0,3,1,16,4,0,2,1,0,0
"123","JESUS ALCANTAR",37,12,1,10,9,7,6,0,1,1,0,0
"124","JESUS ANGUAMEA",45,12,1,6,5,15,8,1,1,0,1,0
"125","JESUS BARRAZA",33,2,0,2,2,4,4,0,3,0,1,0
"126","JESUS GARCIA",13,10,0,7,6,2,0,0,0,0,3,0
"127","JESUS HUERTA",8,4,1,3,3,0,0,0,0,0,0,0
