"","Pitcher_Name","H","HR","R","ER","SO","BB","BK","W","L","HLD","SV","IP","ERA","WHIP"
"1","AARON KURCZ",5,1,1,1,6,3,2,0,1,1,0,6,1.5,1.33
"2","AARON LAFFEY",17,1,9,8,3,2,0,1,1,0,0,13,5.54,1.46
"3","ADRIAN C. RAMIREZ",5,0,5,5,1,3,0,0,0,0,0,1,45,8
"4","ADRIAN GARZA",5,1,4,4,2,5,0,0,0,0,0,6.1,5.68,1.58
"5","ALBERTO LEYVA",9,0,8,7,4,3,0,0,0,4,0,4.1,14.54,2.77
"6","ALDO MONTES",11,0,4,3,7,5,0,1,1,0,0,12,2.25,1.33
"7","ALDO RAMIREZ",2,0,0,0,2,2,0,0,0,0,0,3.2,0,1.09
"8","ALEJANDRO ARTEAGA",2,0,3,3,6,4,0,0,0,0,0,5.1,5.06,1.12
"9","ALEJANDRO ASTORGA",13,0,5,4,6,6,2,0,0,0,0,10,3.6,1.9
"10","ALEJANDRO BARRAZA",1,0,1,1,3,3,0,2,0,0,1,5,1.8,0.8
"11","ALEJANDRO CHAVARRIA",8,0,5,5,5,3,0,0,1,0,0,5.1,8.44,2.06
"12","ALEJANDRO MARTINEZ",5,1,2,2,3,1,0,1,0,0,0,5,3.6,1.2
"13","ALEJANDRO SOTO",13,3,11,10,7,4,0,0,1,0,0,4.2,19.29,3.64
"14","ALEX DELGADO",9,2,7,6,9,3,0,1,0,0,0,7.1,7.36,1.64
"15","ALEX SANABIA",8,1,6,6,4,4,0,1,1,0,0,6.2,8.1,1.8
"16","ALEXIS CANDELARIO",10,2,8,8,5,3,0,0,1,0,0,6.2,10.8,1.95
"17","ALEXIS PORTILLO",4,0,4,4,2,1,0,0,0,0,0,3.1,10.8,1.5
"18","ALFONSO SANCHEZ",0,0,1,1,5,3,0,0,1,2,0,4.1,2.08,0.69
"19","ANDRES AVILA",3,1,2,2,4,3,0,1,1,2,0,6.2,2.7,0.9
"20","ANDREW GUTIERREZ",5,0,5,5,1,1,1,0,0,0,0,0.2,67.5,9
