"","Pitcher_Name","H","HR","R","ER","SO","BB","BK","W","L","HLD","SV","IP","ERA","WHIP"
"1","AARON KURCZ",10,2,4,4,10,5,3,0,1,1,0,10.2,3.38,1.41
"2","AARON LAFFEY",17,1,9,8,3,2,0,1,1,0,0,13,5.54,1.46
"3","ADRIAN C. RAMIREZ",7,0,6,6,1,3,0,0,0,1,0,3.1,16.2,3
"4","ADRIAN GARZA",10,2,8,8,6,6,0,0,0,0,0,8.2,8.31,1.85
"5","ALBERTO LEYVA",11,0,8,7,6,5,0,1,0,4,0,6.1,9.95,2.53
"6","ALDO MONTES",26,0,13,10,17,8,0,1,3,0,0,20,4.5,1.7
"7","ALDO RAMIREZ",7,2,4,4,3,6,0,0,0,1,0,6.1,5.68,2.05
"8","ALEJANDRO ARTEAGA",2,0,3,3,6,4,0,0,0,0,0,5.1,5.06,1.12
"9","ALEJANDRO ASTORGA",23,0,10,9,15,9,2,0,2,0,0,23,3.52,1.39
"10","ALEJANDRO BARRAZA",5,0,3,3,4,4,0,2,0,3,1,8.1,3.24,1.08
"11","ALEJANDRO CHAVARRIA",10,0,5,5,6,3,0,0,1,0,0,6.1,7.11,2.05
"12","ALEJANDRO MARTINEZ",15,2,10,10,9,4,0,2,0,0,0,13,6.92,1.46
"13","ALEJANDRO SOTO",24,5,18,17,9,8,0,0,2,0,0,12,12.75,2.67
"14","ALEX DELGADO",13,3,9,8,13,4,0,1,0,0,0,13.1,5.4,1.27
"15","ALEX SANABIA",16,2,10,10,7,8,0,3,1,0,0,17,5.29,1.41
"16","ALEXIS CANDELARIO",22,3,13,13,16,9,0,0,2,0,0,16.2,7.02,1.86
"17","ALEXIS PORTILLO",8,0,7,7,4,2,0,0,1,0,0,4.1,14.54,2.31
"18","ALFONSO SANCHEZ",0,0,1,1,5,3,0,0,1,2,0,4.1,2.08,0.69
"19","ANDRES AVILA",9,1,6,6,11,4,0,1,1,5,0,11.1,4.76,1.15
"20","ANDREW GUTIERREZ",5,0,5,5,1,1,1,0,0,0,0,0.2,67.5,9
"21","ANGEL ADRIAN RAMIREZ",5,0,1,1,5,1,0,0,0,0,0,5.1,1.69,1.12
"22","ANGEL ARAIZA",21,3,13,13,16,7,0,0,3,0,0,19.1,6.05,1.45
"23","ANGEL CASTRO",18,1,12,10,6,11,0,0,1,0,0,14,6.43,2.07
"24","ANGEL LANDAZURI",1,0,1,1,4,3,0,0,0,0,0,9.2,0.93,0.41
"25","ANGEL RODRIGUEZ",18,2,13,11,9,7,0,0,0,0,0,12.2,7.82,1.97
"26","ANTHONY CARTER",14,1,9,5,13,3,0,2,3,0,4,14.2,3.07,1.16
"27","ANTONIO GARZON",9,0,3,3,5,1,0,0,0,4,0,9.2,2.79,1.03
"28","ARCENIO LEON",5,0,4,2,9,2,0,1,0,0,3,9.1,1.93,0.75
"29","ARIEL GRACIA",15,2,13,9,7,6,0,1,0,0,0,9,9,2.33
"30","ARIEL PENA",18,1,15,14,8,8,0,1,2,0,0,12.2,9.95,2.05
"31","ARTURO BARRADAS",12,1,4,4,7,7,0,1,0,4,0,12.1,2.92,1.54
"32","ARTURO FLORENTINO",12,0,13,13,5,11,0,0,1,0,0,8.2,13.5,2.65
"33","ATAHUALPA SEVERINO",6,1,4,2,8,5,0,0,0,3,0,7,2.57,1.57
"34","AXEL RIOS",14,2,5,4,8,3,0,1,1,1,0,8.2,4.15,1.96
"35","BARRY ENRIGHT",21,1,8,8,16,5,0,3,0,0,0,23,3.13,1.13
"36","BENNY SUAREZ",6,0,4,1,5,4,0,0,0,0,0,7,1.29,1.43
"37","BRANDON CUNNIFF",4,0,1,1,2,1,0,0,0,0,0,3,3,1.67
"38","BRANDON QUINTERO",7,2,4,4,5,3,0,0,0,1,0,7.1,4.91,1.36
"39","BRAULIO LARA",7,0,5,5,8,5,0,0,0,4,0,6,7.5,2
"40","BRAULIO TORRES-PEREZ",7,1,4,4,2,5,0,0,1,1,0,6.1,5.68,1.89
"41","BRYAN EVANS",28,4,16,13,21,2,0,1,2,0,0,20,5.85,1.5
"42","CARLOS CHAVEZ",12,1,10,8,6,5,0,0,0,1,0,9.1,7.71,1.82
"43","CARLOS DE LEON",13,2,6,5,11,4,0,1,1,1,1,11,4.09,1.55
"44","CARLOS FELIX",9,0,1,1,8,2,0,0,0,0,0,9,1,1.22
"45","CARLOS FISHER",11,0,6,6,17,5,0,1,0,5,0,12.2,4.26,1.26
"46","CARLOS HERNANDEZ",17,1,9,9,13,1,0,2,1,0,0,18.2,4.34,0.96
"47","CARLOS MORALES",18,1,14,7,9,7,0,0,0,0,0,11.1,5.56,2.21
"48","CARLOS PECH",10,0,4,4,5,4,0,0,0,0,0,6.2,5.4,2.1
"49","CARLOS TELLER",5,0,5,5,0,3,0,0,1,0,0,2,22.5,4
"50","CARLOS ZUNIGA",7,0,2,2,1,0,0,0,0,0,0,2,9,3.5
"51","CESAR VALDEZ",31,2,15,11,9,5,0,1,3,0,0,16.2,5.94,2.16
"52","CHAD GAUDIN",8,0,6,0,5,0,0,1,1,0,1,6.1,0,1.26
"53","CHRIS ROCHA",17,1,4,4,12,3,0,0,1,0,0,13.1,2.7,1.5
"54","CONFESOR LARA",13,1,8,7,8,9,0,1,2,2,0,12.1,5.11,1.78
"55","DALLAS MARTINEZ",3,1,1,1,2,2,0,1,0,0,0,6,1.5,0.83
"56","DANIEL BRITO",13,2,9,8,1,4,0,0,0,0,0,7,10.29,2.43
"57","DANIEL DUARTE",7,0,3,3,5,1,0,2,0,5,0,6.2,4.05,1.2
"58","DANIEL FLORES",3,0,2,2,1,2,0,0,0,0,0,3.2,4.91,1.36
"59","DANIEL GUERRERO",19,3,12,11,16,12,2,0,3,0,0,19,5.21,1.63
"60","DAVID GUTIERREZ",11,1,8,6,10,7,0,0,0,3,0,12.1,4.38,1.46
"61","DAVID REYES",30,4,19,19,20,8,1,2,0,0,0,22,7.77,1.73
"62","DAVID RICHARDSON",6,2,5,5,14,4,0,1,0,4,0,10,4.5,1
"63","DEMETRIO GUTIERREZ",3,1,1,1,3,3,0,1,0,0,0,6.1,1.42,0.95
"64","DERRICK LOOP",12,0,3,2,19,7,0,0,0,4,3,11.2,1.54,1.63
"65","DUSTIN CRENSHAW",29,3,13,11,15,8,0,1,1,0,0,23,4.3,1.61
"66","EDER LLAMAS",9,1,6,6,10,3,0,0,1,0,0,16,3.38,0.75
"67","EDGAR GOMEZ",14,1,10,10,4,4,0,0,0,1,1,8.1,10.8,2.16
"68","EDGAR GONZALEZ",26,4,11,11,9,3,0,0,0,0,0,20.1,4.87,1.43
"69","EDGAR TORRES",7,3,4,4,2,2,0,0,0,2,0,4.1,8.31,2.08
"70","EDUARD SANTOS",3,0,4,4,4,2,0,0,1,0,0,1.1,27,3.75
"71","EDWIN QUIRARTE",13,0,11,9,1,2,0,0,0,0,0,3.2,22.09,4.09
"72","EDWIN SALAS",8,0,6,5,10,4,0,1,1,2,1,11.1,3.97,1.06
"73","EGER ACOSTA",3,0,4,4,8,4,0,0,0,0,0,4.2,7.71,1.5
"74","EL'HAJJ MUHAMMAD",6,2,5,5,1,4,0,1,0,0,3,8.2,5.19,1.15
"75","ERNESTO FRIERI",3,1,4,4,5,3,0,0,0,1,1,3.2,9.82,1.64
"76","ESTEBAN HARO",15,0,8,8,4,2,1,1,1,2,0,5.2,12.71,3
"77","ESTEVAN GONZALEZ",0,0,0,0,0,0,0,0,0,0,0,1,0,0
"78","EUMIR SEPULVEDA",18,2,12,10,4,12,0,0,2,0,0,16,5.62,1.88
"79","FABIAN COTA",7,0,1,1,6,1,0,0,0,5,0,4.2,1.93,1.71
"80","FABIAN WILLIAMSON",8,1,8,8,4,6,0,1,0,2,0,3.1,21.6,4.2
"81","FEDERICO CASTANEDA",8,0,3,3,5,3,0,0,0,2,0,8,3.38,1.38
"82","FELIPE ARREDONDO",12,4,5,5,8,3,0,1,0,1,0,10.1,4.35,1.45
"83","FELIPE GONZALEZ",5,0,2,1,7,4,0,1,1,3,0,9,1,1
"84","FERNANDO GALLEGOS",16,2,13,13,10,6,0,0,2,0,0,8.2,13.5,2.54
"85","FERNANDO VILLALOBOS",10,1,9,7,2,3,0,1,0,1,0,6.2,9.45,1.95
"86","FRANCISCO CAMPOS",6,1,7,7,0,1,0,0,1,0,0,1.1,47.25,5.25
"87","FRANCISCO DEL ROSARIO",13,1,6,6,13,10,0,1,0,3,1,12.2,4.26,1.82
"88","FRANCISCO GIL",5,1,4,4,1,2,0,0,0,1,0,5.1,6.75,1.31
"89","FRANCISCO HARO",13,0,4,3,9,3,0,0,0,0,0,12,2.25,1.33
"90","FRANCISCO MORENO",25,4,15,13,6,3,0,0,3,0,0,15.1,7.63,1.83
"91","FRANCISCO RODRIGUEZ",27,3,18,17,14,11,0,1,2,0,0,22.2,6.75,1.68
"92","FRANKIE DE LA CRUZ",42,0,23,20,22,4,0,0,5,0,0,29,6.21,1.59
"93","FREDDY GARCIA",26,1,10,8,19,2,0,2,2,0,0,18.2,3.86,1.5
"94","FREDY QUINTERO",12,2,8,6,7,4,0,0,2,1,1,9.2,5.59,1.66
"95","GABE AGUILAR",3,0,0,0,5,2,0,0,0,1,0,4.1,0,1.15
"96","GABINO AVALOS",2,0,4,3,1,3,0,0,0,0,0,1,27,5
"97","GERARDO GUTIERREZ",1,0,3,3,8,4,0,0,0,0,0,4.2,5.79,1.07
"98","GERARDO SANCHEZ",11,0,2,2,4,3,0,1,0,4,0,8.1,2.16,1.68
"99","GONZALO OCHOA",5,0,0,0,6,1,0,0,0,0,0,5,0,1.2
"100","GONZALO SANUDO",7,0,0,0,8,0,0,1,0,0,0,10,0,0.7
"101","GUILLERMO TRUJILLO",18,4,12,12,7,4,0,2,1,0,0,17.1,6.23,1.27
"102","HASSAN PENA",14,1,8,8,4,4,0,0,2,1,0,3.1,21.6,5.4
"103","HECTOR AMBRIZ",10,0,3,3,8,2,0,0,1,0,0,8,3.38,1.5
"104","HECTOR GALVAN",20,2,12,10,7,7,1,1,3,0,0,13.1,6.75,2.02
"105","HENDERSON ALVAREZ",26,2,12,12,11,3,0,2,0,0,0,20.2,5.23,1.4
"106","HENRY OMANA",4,0,6,5,2,10,1,0,1,1,0,8,5.62,1.75
"107","HERIBERTO RUELAS",4,0,0,0,11,5,0,1,0,1,2,10.1,0,0.87
"108","HUGO GUTIERREZ",7,0,6,6,1,0,0,0,0,0,0,1,54,7
"109","HUMBERTO MONTIEL",17,1,13,13,3,8,0,0,1,1,0,8,14.62,3.12
"110","IRWIN DELGADO",30,4,18,12,17,8,0,1,0,0,0,21.1,5.06,1.78
"111","ISAAC JIMENEZ",7,0,4,4,2,0,0,1,0,0,0,2,18,3.5
"112","ISMAEL CASTILLO",3,1,4,4,7,3,0,0,1,1,0,6.2,5.4,0.9
"113","IVAN SALAS",3,0,0,0,3,2,0,1,0,5,0,6.2,0,0.75
"114","IVAN ZAVALA",6,0,2,2,4,3,0,0,1,0,0,7.1,2.45,1.23
"115","JAIME LUGO",30,3,14,14,14,4,0,0,1,0,0,17.2,7.13,1.92
"116","JASON URQUIDEZ",9,0,2,2,9,1,0,0,0,0,4,8,2.25,1.25
"117","JAVIER REYNOSO",13,2,8,8,4,6,0,0,1,2,0,8.1,8.64,2.28
"118","JAVIER SOLANO",37,3,19,17,18,5,0,3,1,0,0,23.1,6.56,1.8
"119","JEAN MACHI",17,3,10,9,11,3,0,2,2,3,3,14,5.79,1.43
"120","JEFF IBARRA",4,0,1,1,10,1,0,1,0,2,0,9,1,0.56
"121","JESSE ESTRADA",7,0,0,0,5,5,0,0,0,2,1,12,0,1
"122","JESUS ADRIAN CASTILLO",13,0,3,1,16,4,0,2,1,0,0,16,0.56,1.06
"123","JESUS ALCANTAR",12,1,10,9,7,6,0,1,1,0,0,12.1,6.57,1.46
"124","JESUS ANGUAMEA",12,1,6,5,15,8,1,1,0,1,0,15,3,1.33
"125","JESUS BARRAZA",2,0,2,2,4,4,0,3,0,1,0,11,1.64,0.55
"126","JESUS GARCIA",10,0,7,6,2,0,0,0,0,3,0,4.1,12.46,2.31
"127","JESUS HUERTA",4,1,3,3,0,0,0,0,0,0,0,2.2,10.12,1.5
"128","JESUS PIRELA",7,1,2,2,2,1,0,0,0,2,0,4.1,4.15,1.85
"129","JOAQUIN LARA",17,1,10,8,9,2,0,1,0,0,0,10.1,6.97,1.84
"130","JOHN MILLAN",7,0,3,3,0,2,0,0,0,0,0,3.2,7.36,2.45
"131","JONATHAN CASTELLANOS",23,0,6,6,9,9,0,3,0,0,0,20.1,2.66,1.57
"132","JONATHAN FRUTOS",7,0,3,3,3,7,0,0,0,0,0,5.1,5.06,2.62
"133","JONATHAN PARTIDA",4,1,2,2,4,3,0,0,0,1,0,5,3.6,1.4
"134","JORDAN ABOITES",8,2,6,5,8,6,0,0,3,0,0,7.1,6.14,1.91
"135","JORGE IBARRA",7,0,3,3,7,2,0,0,0,4,0,6.2,4.05,1.35
"136","JORGE QUINONES",2,0,2,2,0,1,0,0,0,0,0,1.1,13.5,2.25
"137","JORGE REYES",21,1,8,8,15,5,0,0,0,0,0,17.2,4.08,1.47
"138","JORGE RIVERA",16,0,7,6,11,2,0,0,0,2,0,15,3.6,1.2
"139","JOSE ASCANIO",5,0,2,2,2,1,0,0,0,0,2,3.2,4.91,1.64
"140","JOSE BARAJAS",15,1,12,11,6,8,0,0,2,0,0,11,9,2.09
"141","JOSE CARLOS MEDINA",7,1,3,3,5,2,0,0,1,0,0,5.1,5.06,1.69
"142","JOSE FRUTOS",6,0,1,1,4,2,0,0,0,0,0,5.1,1.69,1.5
"143","JOSE HAROS",1,0,0,0,1,0,0,0,0,0,0,1,0,1
"144","JOSE ISIDRO MARQUEZ",4,2,2,2,5,3,0,0,0,2,0,4.1,4.15,1.62
"145","JOSE LOPEZ CRUZ",18,0,8,8,6,3,0,1,1,1,0,9,8,2.33
"146","JOSE MANUEL LOPEZ",14,1,3,3,9,4,0,0,0,4,1,9.2,2.79,1.86
"147","JOSE MARRUJO",20,2,17,16,7,9,0,1,1,0,0,14,10.29,2.07
"148","JOSE MERAZ",3,1,3,3,2,0,0,0,0,1,0,2,13.5,1.5
"149","JOSE PINA",19,2,6,6,21,10,0,3,1,0,0,27.2,1.95,1.05
"150","JOSE SAMAYOA",17,0,3,3,15,6,1,2,1,0,0,25,1.08,0.92
"151","JOSH JUDY",7,0,2,2,1,2,0,0,1,3,0,8.2,2.08,1.04
"152","JOSH LOWEY",33,3,14,14,29,11,0,2,2,0,0,31,4.06,1.42
