"","TEAM","GP","W","L","PCT","WinRatio","RperG","RAperG","RunsRatio","PCTexp","Wexp","Lexp","Rdif"
"1","vaq",19,4,14,0.222222222222222,0.285714285714286,3.26315789473684,5.47368421052632,0.596153846153846,0.262210095497954,15,42,-42
"2","tij",19,9,9,0.5,1,5.94736842105263,4.89473684210526,1.21505376344086,0.596180782519376,34,23,20
"3","lar",19,9,9,0.5,1,4.68421052631579,3.94736842105263,1.18666666666667,0.58474826517053,33,24,14
"4","mxo",19,12,6,0.666666666666667,2,7.52631578947368,5.68421052631579,1.32407407407407,0.636782611403481,36,21,35
"5","mty",19,13,5,0.722222222222222,2.6,5.36842105263158,4.36842105263158,1.2289156626506,0.601630717631412,34,23,19
"6","mva",19,7,11,0.388888888888889,0.636363636363636,5.36842105263158,6.10526315789474,0.879310344827586,0.4360435875943,25,32,-14
"7","yuc",19,13,5,0.722222222222222,2.6,5.52631578947368,4.63157894736842,1.19318181818182,0.587404763173318,33,24,17
"8","qui",19,12,6,0.666666666666667,2,5.42105263157895,4.84210526315789,1.1195652173913,0.55623132176375,32,25,11
"9","agu",19,9,9,0.5,1,5.94736842105263,5.47368421052632,1.08653846153846,0.541403434386262,31,26,9
"10","dur",19,8,10,0.444444444444444,0.8,7.42105263157895,8.73684210526316,0.849397590361446,0.419103231654616,24,33,-25
"11","leo",19,7,11,0.388888888888889,0.636363636363636,6.21052631578947,6.63157894736842,0.936507936507937,0.467248322147651,27,30,-8
"12","oax",19,9,9,0.5,1,7,6.36842105263158,1.09917355371901,0.547138880296938,31,26,12
"13","slt",19,6,12,0.333333333333333,0.5,4.57894736842105,5.89473684210526,0.776785714285714,0.37632377069557,21,36,-25
"14","pue",19,12,6,0.666666666666667,2,6.89473684210526,5.36842105263158,1.2843137254902,0.622564846725921,35,22,29
"15","tab",19,7,11,0.388888888888889,0.636363636363636,3.31578947368421,5.10526315789474,0.649484536082474,0.29668111825385,17,40,-34
"16","cam",19,7,11,0.388888888888889,0.636363636363636,4.68421052631579,5.63157894736842,0.831775700934579,0.408931337119257,23,34,-18
