"","X","Batter_Name","AB","R","H","D","Tr","HR","RBI","BB","SO","HBP","SB","SF","SH"
"1",1,"AARON KURCZ",0,0,0,0,0,0,0,0,0,0,0,0,0
"2",2,"AARON LAFFEY",0,0,0,0,0,0,0,0,0,0,0,0,0
"3",3,"ABRAHAM RAMOS",0,1,0,0,0,0,0,0,0,0,0,0,0
"4",4,"ADAN MUNOZ",29,2,6,0,0,1,2,2,5,0,0,0,0
"5",5,"ADRIAN C. RAMIREZ",0,0,0,0,0,0,0,0,0,0,0,0,0
"6",6,"ADRIAN GARZA",0,0,0,0,0,0,0,0,0,0,0,0,0
"7",7,"ADRIAN GUTIERREZ",6,0,1,0,0,0,0,0,0,1,0,0,0
"8",8,"ADRIAN NICOLI",3,3,0,0,0,0,0,0,1,0,0,0,0
"9",9,"AGUSTIN MURILLO",50,9,17,4,0,2,7,4,7,1,3,0,0
"10",10,"ALAN ESPINOZA",12,1,4,1,0,1,7,0,0,0,0,0,0
"11",11,"ALAN LOPEZ",7,5,2,0,0,0,3,2,3,0,1,0,0
"12",12,"ALAN SANCHEZ",26,1,11,0,0,0,7,2,4,0,0,0,0
"13",13,"ALBERT CANEDO",0,1,0,0,0,0,0,0,0,0,0,0,0
"14",14,"ALBERTO CALLASPO",42,6,14,2,0,0,5,7,5,0,1,1,0
"15",15,"ALBERTO CARREON",52,11,17,2,0,0,4,2,7,1,2,0,1
"16",16,"ALBERTO LEYVA",0,0,0,0,0,0,0,0,0,0,0,0,0
"17",17,"ALBERTO QUERALES",35,4,8,1,0,0,3,1,6,0,0,2,2
"18",18,"ALDO FLORES",0,0,0,0,0,0,0,0,0,0,0,0,0
"19",19,"ALDO MONTES",0,0,0,0,0,0,0,0,0,0,0,0,0
"20",20,"ALDO RAMIREZ",0,0,0,0,0,0,0,0,0,0,0,0,0
"21",21,"ALEJANDRO ARTEAGA",0,0,0,0,0,0,0,0,0,0,0,0,0
"22",22,"ALEJANDRO ASTORGA",0,0,0,0,0,0,0,0,0,0,0,0,0
"23",23,"ALEJANDRO BARRAZA",0,0,0,0,0,0,0,0,0,0,0,0,0
"24",24,"ALEJANDRO CHAVARRIA",0,0,0,0,0,0,0,0,0,0,0,0,0
"25",25,"ALEJANDRO GONZALEZ",52,8,9,1,0,0,4,10,17,2,1,1,0
"26",26,"ALEJANDRO MARTINEZ",0,0,0,0,0,0,0,0,0,0,0,0,0
"27",27,"ALEJANDRO ORTIZ",6,0,0,0,0,0,0,0,3,0,0,0,0
"28",28,"ALEJANDRO RIVERO",37,6,7,1,0,0,6,4,7,1,2,1,0
"29",29,"ALEJANDRO SOTO",0,0,0,0,0,0,0,0,0,0,0,0,0
"30",30,"ALEX DELGADO",0,0,0,0,0,0,0,0,0,0,0,0,0
"31",31,"ALEX SANABIA",0,0,0,0,0,0,0,0,0,0,0,0,0
"32",32,"ALEX VALDEZ",41,7,14,2,0,3,5,4,5,0,0,0,0
"33",33,"ALEXEI RAMIREZ",53,10,15,1,0,0,6,4,8,1,0,1,0
"34",34,"ALEXIS CANDELARIO",0,0,0,0,0,0,0,0,0,0,0,0,0
"35",35,"ALEXIS PORTILLO",0,0,0,0,0,0,0,0,0,0,0,0,0
"36",36,"ALFONSO SANCHEZ",0,0,0,0,0,0,0,0,0,0,0,0,0
"37",37,"ALONZO HARRIS",36,8,10,4,0,0,1,2,5,0,2,0,0
"38",38,"ALVARO GONZALEZ",12,2,4,0,0,2,2,3,3,0,0,0,0
"39",39,"AMADEO ZAZUETA",60,10,18,2,0,0,6,3,9,0,1,0,0
"40",40,"AMILCAR GOMEZ",11,0,3,1,0,0,1,0,2,0,0,0,0
"41",41,"ANDERSON HERNANDEZ",49,9,16,4,0,0,8,8,3,0,3,0,0
"42",42,"ANDRES AVILA",0,0,0,0,0,0,0,0,0,0,0,0,0
"43",43,"ANDRES AYON",27,2,6,1,0,0,1,0,9,0,0,0,1
"44",44,"ANDREW GUTIERREZ",0,0,0,0,0,0,0,0,0,0,0,0,0
"45",45,"ANGEL ADRIAN RAMIREZ",0,0,0,0,0,0,0,0,0,0,0,0,0
"46",46,"ANGEL ARAIZA",0,0,0,0,0,0,0,0,0,0,0,0,0
"47",47,"ANGEL CASTRO",0,0,0,0,0,0,0,0,0,0,0,0,0
"48",48,"ANGEL CHAVARIN",6,1,2,0,0,1,1,0,2,0,0,0,1
